,brand_name,key,appraisal_value,front_tag,status
0,Screen Stars,L8-rp0o66e,750,https://s3.amazonaws.com/com.images.legiteem8/9647fad3-261c-46f9-a973-780c90afcb4b-2022042914360.jpeg,1
1,Screen Stars Best,L8-el3npic,500,https://s3.amazonaws.com/com.images.legiteem8/0d1b0e44-d9cc-40d0-aa56-5bfe36f5696c-20220429142552%40blurHash%3DVVhJNHxrTUokfXhdflhSaW4qeGFufnh2TkdOSGJZdFNNe2Fk.jpeg,1
2,Eazy-E 2006 Ruthless Branded Shirt,L8-g4gw8pg,75,https://s3.amazonaws.com/com.images.legiteem8/6628ba9c-41a2-4eee-9e45-2e8aed46859c-20220430212239%40blurHash%3DVWRJRVV7fUAsP3haP15LNUk6UiotO29mV0Jhek14eFp0Nmpb.jpeg,0
3,2000s Tiesto Remix The Future Armani Exchange T-Shirt,L8-0j6bmsw,200,https://s3.amazonaws.com/com.images.legiteem8/b8fbbdca-14df-46b1-8916-442ab21c7213-2022050161938%40blurHash%3DVTA1aEpSSVQwMF8xflV4dE5Hb2YwNSVLXn5JV14lb2VNfHhh.jpeg,0
4,Screen Stars Funky A,L8-1qnj7gd,1000,https://s3.amazonaws.com/com.images.legiteem8/85a92eba-e31e-45bf-a04c-bb96d43db046-2022050221136%40blurHash%3DVTM3LX50WngwRklWJEd0VTlHUmswNWtFfkslTTAyUk9%2BbHh3.jpeg,1
5,John Lennon,L8-t0nrnvs,50,https://s3.amazonaws.com/com.images.legiteem8/ad241e8e-e7a9-4f6c-9303-b03f0849d8a5-2022050305957%40blurHash%3DVTU5UTVCeEcweUVMIywlMTl2STsweUUyfkItbzFnYnY7eSRp.jpeg,0
6,Jerzees,L8-lu7tnhs,500,https://s3.amazonaws.com/com.images.legiteem8/5f3b36dc-40e3-4354-814c-f92b123d7e38-2022043017555%40blurHash%3DVUZFLnxjOXIwMF4sXzNrVkUwbmowMC07fkRFMEkuV0ElMmtX.jpeg,1
7,Velva Sheen,L8-23olqcn,25,https://s3.amazonaws.com/com.images.legiteem8/3f746c17-a570-4588-b2f9-f136f1867dde-2022051116925%40blurHash%3DVUNCeV0kK3AwMUZNR0lFbFZxPX05SXdHflVPWnNpTkhKV3hZ.jpeg,0
8,Adidas,L8-b9l0hg1,300,https://s3.amazonaws.com/com.images.legiteem8/261b00ba-6107-4db6-a4f9-4cca2cdc4a04-2022051217358%40blurHash%3DVTM3MWNqXzIwSzRvfldXQkQqTXtJVklWJU0lTWtEYXl4YWpa.jpeg,0
9,Souls of Mischief Hieroglyphics Branded Shirt,L8-ujqb8dg,350,https://s3.amazonaws.com/com.images.legiteem8/e9792f2a-dff9-4bb9-8123-d00033b13eb0-202205077752.jpeg,0
10,QTees Of California,L8-1q2u8oo,2000,https://s3.amazonaws.com/com.images.legiteem8/d0407158-dfb7-43bd-a796-202d2f9ff586-20220429151327%40blurHash%3DVUlDJThKeHUwMFJQUipmNm9ma0MwME17fnF0OHh1b2dSKldB.jpeg,1
11,Wu Wear,L8-em5pfkw,400,https://s3.amazonaws.com/com.images.legiteem8/6cf4a8f4-4e68-43e5-acef-d7ba57df2717-2022052224320%40blurHash%3DVWJFTDdedDZJcFJsfWxvSlc9Ykh9bW9lV0NXQz1Zall0N29m.jpeg,1
12,Jockey,L8-mig3vjg,400,https://s3.amazonaws.com/com.images.legiteem8/1f1aa2cd-4a84-42b0-97ea-6920f30cdf6f-202206198810%40blurHash%3DVUhMZyV9fnBfMyVMUmgtO3Q4UmswSz9hJTB0NzlHeHR0UnM6.jpeg,0
13,Bay Club,L8-r2eb86m,1200,https://s3.amazonaws.com/com.images.legiteem8/06ae2ce9-de18-4cb2-8965-ab12bfb275b5-20220622215225%40blurHash%3DVUFEOXR7cl5NZCVlMDBYUjQ6SUN%2BQnhheER0UTB5TXslZnQ2.jpeg,1
14,Screen Stars FOTL,L8-p10iewg,380,https://s3.amazonaws.com/com.images.legiteem8/85ea5448-2013-4995-a5cd-6790fcd06c8a-2022062573749%40blurHash%3DVSRGZ10sb0xSKmF5fT1qWVdXakBeTWF5b2ZvZi1UYXlqc2pA.jpeg,1
15,Led Zeppelin Bootleg,L8-4phsggi,175,https://s3.amazonaws.com/com.images.legiteem8/4ebc740b-fa1e-41c4-ad5c-17e61a5fb9ae-2022070131819%40blurHash%3DVU5IeEUyeGF4diVNflU5YUUySW9%2BQU14SVVNfF4qP2EtcHRR.jpeg,1
16,Fruit of the Loom,L8-mtoncbw,150,https://s3.amazonaws.com/com.images.legiteem8/f7655da6-3677-4492-8218-967ff079bddc-202207022199%40blurHash%3DVXhHN0Aub0xqc29KLC1mUmpzakB%2BQW9Lb2ZvTHdhZmtvZW9l.jpeg,1
17,Björk Debut Tee,L8-i44fvbq,1500,https://s3.amazonaws.com/com.images.legiteem8/b67f94b3-2996-42a1-82f1-944e7b229258-20220627142632%40blurHash%3DVVlNR1Y2cy5vZnhhflZzOmF5b2ZSam9laltheVZAV0NiSGpb.jpeg,1
18,Liquid Blue,L8-7qank4u,300,https://s3.amazonaws.com/com.images.legiteem8/be84aaad-d43e-4116-b284-0685e44027a3-2022070454641%40blurHash%3DVVNEMDRJb2ZEJW9nfldiSFJqb2YlMVdDdFJvSi1xaltXQWEj.jpeg,1
19,Hanes Ultraweight,L8-dspcavs,500,https://s3.amazonaws.com/com.images.legiteem8/9f0611d6-d91a-47e5-abaa-357bf06ddc04-20220625114918%40blurHash%3DVUtJcWZrJTM5cyUyfXRvZ0pUeFowMFIqc3FWQDNxV1V2ek5H.jpeg,1
20,Great Southern Company,L8-1lcs5no,160,https://s3.amazonaws.com/com.images.legiteem8/50cb06c4-1b0d-460f-ad8d-69440e890585-2022070915140%40blurHash%3DVTlCcHFYXzMwMElBX014dUlVYXkwMElCfnElTTRuV0IlTVdC.jpeg,1
21,Fruit of the Loom Heavy,L8-ldib6l2,500,https://s3.amazonaws.com/com.images.legiteem8/29b2e1c8-5067-491e-97cc-07ee00e41ec6-2022071031937%40blurHash%3DVUJCZlkxP0cwMzl2Xip4dEk7YmMwem9mfkIlMiVMJTFuak18.jpeg,1
22,Fruit of the Loom,L8-luo8s67,400,https://s3.amazonaws.com/com.images.legiteem8/e5bce9a5-50a8-494e-9858-54763face161-20220708161548%40blurHash%3DVUREOVNGPXswTDU2cElSanhHbmowMEUyfkM9eyM4c3BKLFN6.jpeg,1
23,Hanes,L8-anff50f,200,https://s3.amazonaws.com/com.images.legiteem8/a65bcb59-18bb-4e5a-bf25-1c84576b3401-20220718173656%40blurHash%3DVWdHUlZZLVZFMWF9P2JTNE5IV0N4XVc7cztqWn5WeGFJb1dX.jpeg,1
24,AAA,L8-t1uj487,45,https://s3.amazonaws.com/com.images.legiteem8/728c0f34-1bdf-4659-82b2-31d748a962a4-20220719152342%40blurHash%3DVVNHdCstcl9SNW9jfkJzRE5Haj00Ok5Hb31SayQqeEd4YWF5.jpeg,1
25,Brockum Collection (The),L8-4tt41wp,100,https://s3.amazonaws.com/com.images.legiteem8/fac035e4-d435-458e-9316-fa22ef55b237-20220719224630%40blurHash%3DVVJGRm1YV0JJVXhiMDBheFJpb2Z%2BcG9mUmpvZm9MUipXQ1dC.jpeg,1
26,Hanes Heavyweight,L8-pgmk34b,180,https://s3.amazonaws.com/com.images.legiteem8/2ff6255c-fcd7-41ab-92e3-787d38363eab-2022072223454%40blurHash%3DVUZDNnJ3LXAwMElveGFvTFIrYkkwMElvfnEkKk9YV1d3Xm4k.jpeg,1
27,led zeppelin rules america ,L8-mwc3cra,75,https://s3.amazonaws.com/com.images.legiteem8/fbc93ebb-6d5d-4d98-9e7b-c982f2a45f0f-2022072502321%40blurHash%3DVVFIZTV9eHVJVXh0JXlrQk17YXh%2BcCVNYXpSaj9ieHV0N017.jpeg,1
28,King Crimson,L8-jinahiv,250,https://s3.amazonaws.com/com.images.legiteem8/1fc7613f-2d76-478f-b779-931dc9c7941e-20220721185722%40blurHash%3DVTlMNFFrdTQ9e35VMF0jOWpGRCowMFRjeVdmKzAwbmpWYVIr.jpeg,1
29,Hanes Ultraweight,L8-81gmava,1500,https://s3.amazonaws.com/com.images.legiteem8/0e0ae337-394c-4cd8-8b04-383734e7faf1-20220728223150%40blurHash%3DVW9NN3J4eHVqPXh1aj9qW1dCb2Z%2BcVdXb2dqc3h1altzOmF4.jpeg,1
30,Nike,L8-aul725j,80,https://s3.amazonaws.com/com.images.legiteem8/cd89302a-4b8f-4d7b-9227-642c41dfaac2-2022050971937%40blurHash%3DVWVLNz86fF5yWWFlLStPQlM1alske1MyWFJmK3hAU2duaW4k.jpeg,1
31,Vintage 1993 Alice In Chains Lollapalooza Tour T-Shirt,L8-7a1vlli,1000,https://s3.amazonaws.com/com.images.legiteem8/feaf57d2-38db-476b-a240-d5311f974596-2022072472154%40blurHash%3DVTZNUUlyPXx5Ql8yfnBvZnQ4eHVfTFJrYTFyP3hdU08tb3M5.jpeg,1
32,Wild Oats,L8-6lsum6h,750,https://s3.amazonaws.com/com.images.legiteem8/65879dfb-c0f4-458c-ad9a-6da6915f8b97-20220730231238.jpeg,1
33,Giant by Tultex,L8-gpasmoo,360,https://s3.amazonaws.com/com.images.legiteem8/1d4c2507-e5a0-443c-bf83-07ebfad60cc4-20220801204344%40blurHash%3DVUhMTnVsT0d%2BcC07OF9FMS06JUxSUFJqeHVhZS1weHZSaklV.jpeg,1
